Top 50 receiver frequency: (address, frequency)

(3, 172727)
(14, 79945)
(13, 52571)
(57, 34593)
(9, 33476)
(30, 24491)
(1, 19762)
(120, 15790)
(42, 15788)
(37, 15607)
(38, 14304)
(8, 13975)
(171, 13374)
(60, 13072)
(300, 12881)
(318, 12365)
(51, 9375)
(215, 8020)
(181, 6232)
(740, 5698)
(22, 5352)
(431, 4620)
(94, 3445)
(567, 3395)
(569, 2609)
(868, 2481)
(2535, 2132)
(257, 2026)
(1305, 1848)
(885, 1762)
(1232, 1730)
(340, 1628)
(4142, 1491)
(2923, 1330)
(78537, 1117)
(46881, 1069)
(242, 1008)
(21041, 974)
(244100, 962)
(192831, 934)
(4176, 918)
(136329, 884)
(46880, 867)
(896, 867)
(201714, 860)
(17588, 814)
(260409, 806)
(28215, 794)
(127, 772)
(6802, 765)

Top 50 giver frequency: (address, frequency):

(3, 164333)
(14, 74150)
(13, 47255)
(9, 29789)
(57, 29710)
(108, 23760)
(82, 23738)
(87, 23723)
(69, 23663)
(71, 23647)
(144, 23641)
(32, 23606)
(68, 23540)
(104, 23535)
(10, 23530)
(141, 23513)
(88, 23501)
(45, 23500)
(150, 23469)
(83, 23469)
(31, 23452)
(27, 23437)
(11, 23424)
(44, 23419)
(43, 23411)
(40, 23386)
(58, 23371)
(77, 23317)
(39, 23288)
(47, 23266)
(30, 19509)
(76, 18083)
(4, 18052)
(64, 18017)
(18, 17988)
(231, 17980)
(24, 17953)
(63, 17933)
(73, 17921)
(117, 17917)
(196, 17904)
(129, 17900)
(103, 17895)
(189, 17892)
(62, 17889)
(85, 17881)
(19, 17855)
(279, 17849)
(151, 17829)
(81, 17822)
